town,Region,population,Galician frac,Bilingual frac.,Slovenian Frac.,S,k,lat,lon
A Arnoia,O Carballiño,1171,0.167,0.75,0.083,0.54,0.8,-8.14,42.26
A Barciela,A Barcala,374,0.192,0.59,0.218,0.49,0.75,-8.45,42.96
A Barrela,Chantada,198,0.222,0.611,0.167,0.54,0.76,-7.81,42.54
A Cañiza,A Paradanta,1907,0.132,0.579,0.289,0.45,0.78,-8.27,42.21
A Chan,Pontevedra,50,0.058,0.481,0.462,0.16,0.8,-8.48,42.47
A Ciadella,Arzúa,83,0.4,0.52,0.08,0.6,0.75,-8.04,43.08
A Ciadella,Arzúa,83,0.4,0.52,0.08,0.6,0.75,-8.04,43.08
A Coruña,A Coruña,244810,0.02,0.475,0.505,0.3,0.78,-8.4,43.37
A Cruz do Incio,A Fonsagrada,237,0.476,0.476,0.048,0.63,0.82,-7.36,42.66
A Devesa,Arzúa,26,0.4,0.52,0.08,0.6,0.75,-8.29,43.01
A Eirexa de Puga,Ourense,280,0.073,0.6,0.327,0.35,0.8,-8,42.32
A Estrada,Tabeirós-Terra De Montes,8479,0.48,0.36,0.16,0.58,0.69,-8.49,42.69
A Feira do Monte,A Ulloa,455,0.154,0.641,0.205,0.5,0.78,-7.56,43.24
A Fonsagrada,A Fonsagrada,1229,0.476,0.476,0.048,0.63,0.82,-7.07,43.12
A Forxa,O Carballiño,23,0.167,0.75,0.083,0.54,0.8,-8,42.37
A Gándara,Xallas,102,0.657,0.286,0.057,0.71,0.85,-9.11,42.77
A Gándara,Arzúa,391,0.4,0.52,0.08,0.6,0.75,-8.13,43.01
A Guarda,A Paradanta,10484,0.132,0.579,0.289,0.45,0.78,-8.87,41.9
A Gudiña,Terra De Celanova,792,0.5,0.467,0.033,0.64,0.76,-7.14,42.06
A Igrexa,Eume,66,0.081,0.435,0.484,0.17,0.83,-7.94,43.5
A Igrexa,Vigo,183,0.039,0.512,0.449,0.24,0.8,-8.45,42.34
A Lagoa,Pontevedra,211,0.058,0.481,0.462,0.16,0.8,-8.54,42.54
A Lama,Pontevedra,249,0.058,0.481,0.462,0.16,0.8,-8.44,42.4
A Laracha,Xallas,2580,0.657,0.286,0.057,0.71,0.85,-8.58,43.25
A Merca,Terra De Celanova,244,0.5,0.467,0.033,0.64,0.76,-7.9,42.22
A Mezquita,Terra De Celanova,380,0.5,0.467,0.033,0.64,0.76,-7.05,42.01
A Peroxa,Ourense,337,0.073,0.6,0.327,0.35,0.8,-7.8,42.44
A Picota,Xallas,354,0.657,0.286,0.057,0.71,0.85,-8.99,42.94
A Pobra de Navia,A Fonsagrada,394,0.476,0.476,0.048,0.63,0.82,-7.01,42.96
A Pobra de Parga,A Ulloa,378,0.154,0.641,0.205,0.5,0.78,-7.84,43.16
A Pobra de Trives,Terra De Caldelas,2191,0.188,0.5,0.313,0.17,0.73,-7.25,42.34
A Pobra do Brollón,Chantada,238,0.222,0.611,0.167,0.54,0.76,-7.39,42.56
A Pobra do Caramiñal,Barbanza,4468,0.282,0.615,0.103,0.62,0.79,-8.94,42.6
A Ponte do Porto,Xallas,886,0.657,0.286,0.057,0.71,0.85,-9.12,43.14
A Pontenova,A Mariña Central,858,0.318,0.545,0.136,0.56,0.76,-7.19,43.35
A Rúa de Valdeorras,Terra De Caldelas,4664,0.188,0.5,0.313,0.17,0.73,-7.11,42.4
A Ramallosa,Vigo,4817,0.039,0.512,0.449,0.24,0.8,-8.81,42.11
A Regueira,A Coruña,248,0.02,0.475,0.505,0.3,0.78,-8.18,43.19
A Seara,A Mariña Central,226,0.318,0.545,0.136,0.56,0.76,-7.41,43.53
A Serra de Outes,Barbanza,1064,0.282,0.615,0.103,0.62,0.79,-8.91,42.84
A Terrachán,Terra De Celanova,446,0.5,0.467,0.033,0.64,0.76,-8.12,41.93
A Veiga,Terra De Caldelas,257,0.188,0.5,0.313,0.17,0.73,-7.02,42.25
A Vila,Terra De Celanova,36,0.5,0.467,0.033,0.64,0.76,-8.04,41.99
A Vila da Igrexa,Eume,93,0.081,0.435,0.484,0.17,0.83,-8,43.62
A Vila de Abade,Arzúa,464,0.4,0.52,0.08,0.6,0.75,-8.61,43.09
A Vilavella,Terra De Celanova,179,0.5,0.467,0.033,0.64,0.76,-7.01,42.04
A Xironda,Terra De Celanova,323,0.5,0.467,0.033,0.64,0.76,-7.64,41.9
Abadín,A Ulloa,116,0.154,0.641,0.205,0.5,0.78,-7.47,43.36
Abegondo,A Coruña,646,0.02,0.475,0.505,0.3,0.78,-8.29,43.23
Agolada,Tabeirós-Terra De Montes,483,0.48,0.36,0.16,0.58,0.69,-8.02,42.76
Agro do Chao,Arzúa,36,0.4,0.52,0.08,0.6,0.75,-8.04,42.85
Aiazo,Arzúa,168,0.4,0.52,0.08,0.6,0.75,-8.28,43.01
Albarellos,Terra De Celanova,509,0.5,0.467,0.033,0.64,0.76,-7.5,41.95
Albixoi,Arzúa,161,0.4,0.52,0.08,0.6,0.75,-8.21,43.09
Aldea de Deva,Terra De Celanova,263,0.5,0.467,0.033,0.64,0.76,-8.13,42.16
Alfoz,A Mariña Central,226,0.318,0.545,0.136,0.56,0.76,-7.42,43.53
Allariz,Terra De Caldelas,3328,0.188,0.5,0.313,0.17,0.73,-7.8,42.19
Almeiras,A Coruña,1037,0.02,0.475,0.505,0.3,0.78,-8.37,43.31
Amiudal,O Carballiño,164,0.167,0.75,0.083,0.54,0.8,-8.26,42.4
Amoeiro,Ourense,426,0.073,0.6,0.327,0.35,0.8,-7.95,42.41
Anceis,A Coruña,1310,0.02,0.475,0.505,0.3,0.78,-8.36,43.28
Andeiro,A Coruña,306,0.02,0.475,0.505,0.3,0.78,-8.34,43.26
Andoio,Arzúa,283,0.4,0.52,0.08,0.6,0.75,-8.58,43.13
Antas de Ulla,A Ulloa,674,0.154,0.641,0.205,0.5,0.78,-7.89,42.78
Anxeriz,Arzúa,490,0.4,0.52,0.08,0.6,0.75,-8.67,43.11
Aranga,A Coruña,520,0.02,0.475,0.505,0.3,0.78,-8.02,43.24
Ardemil,Arzúa,600,0.4,0.52,0.08,0.6,0.75,-8.38,43.13
Ares,Eume,3814,0.081,0.435,0.484,0.17,0.83,-8.24,43.43
Armea,A Coruña,68,0.02,0.475,0.505,0.3,0.78,-8.18,43.27
Armentón,A Coruña,436,0.02,0.475,0.505,0.3,0.78,-8.54,43.29
Arteixo,A Coruña,12098,0.02,0.475,0.505,0.3,0.78,-8.51,43.3
Arzádegos,Terra De Celanova,183,0.5,0.467,0.033,0.64,0.76,-7.32,41.86
Arzúa,Arzúa,6500,0.4,0.52,0.08,0.6,0.75,-8.16,42.93
As Casas dos Montes,Terra De Celanova,159,0.5,0.467,0.033,0.64,0.76,-7.51,41.88
As Chás,Terra De Celanova,125,0.5,0.467,0.033,0.64,0.76,-7.5,41.9
As Encrobas,Arzúa,415,0.4,0.52,0.08,0.6,0.75,-8.4,43.19
As Neves,Eume,230,0.081,0.435,0.484,0.17,0.83,-8.06,43.44
As Neves,A Paradanta,465,0.132,0.579,0.289,0.45,0.78,-8.42,42.09
As Nogais,A Fonsagrada,216,0.476,0.476,0.048,0.63,0.82,-7.11,42.81
As Pontes de García Rodríguez,Eume,9513,0.081,0.435,0.484,0.17,0.83,-7.85,43.45
As Rodrigas (Riotorto),A Ulloa,155,0.154,0.641,0.205,0.5,0.78,-7.26,43.34
Bóveda,Chantada,349,0.222,0.611,0.167,0.54,0.76,-7.48,42.62
Bóveda de Limia,Terra De Celanova,170,0.5,0.467,0.033,0.64,0.76,-7.64,42.16
Baños de Molgas,Terra De Caldelas,375,0.188,0.5,0.313,0.17,0.73,-7.67,42.24
Babío,A Coruña,316,0.02,0.475,0.505,0.3,0.78,-8.25,43.31
Baiona,Vigo,3014,0.039,0.512,0.449,0.24,0.8,-8.85,42.12
Baltar,Terra De Celanova,249,0.5,0.467,0.033,0.64,0.76,-7.72,41.95
Bande,Terra De Celanova,728,0.5,0.467,0.033,0.64,0.76,-7.97,42.03
Bandoxa,A Coruña,166,0.02,0.475,0.505,0.3,0.78,-8.15,43.21
Baralla,A Fonsagrada,706,0.476,0.476,0.048,0.63,0.82,-7.25,42.89
Barbadás,Ourense,258,0.073,0.6,0.327,0.35,0.8,-7.89,42.3
Barbeiros,Arzúa,237,0.4,0.52,0.08,0.6,0.75,-8.34,43.07
Bardaos,Arzúa,502,0.4,0.52,0.08,0.6,0.75,-8.54,43.12
Baredo,Vigo,1117,0.039,0.512,0.449,0.24,0.8,-8.87,42.11
Barrañán,A Coruña,345,0.02,0.475,0.505,0.3,0.78,-8.54,43.3
Barral,O Carballiño,177,0.167,0.75,0.083,0.54,0.8,-8.09,42.29
Bascoi,Arzúa,217,0.4,0.52,0.08,0.6,0.75,-8.22,43.12
Beán,Arzúa,297,0.4,0.52,0.08,0.6,0.75,-8.39,43.02
Beade,O Carballiño,448,0.167,0.75,0.083,0.54,0.8,-8.13,42.33
Beariz,O Carballiño,424,0.167,0.75,0.083,0.54,0.8,-8.27,42.47
Becerreá,A Fonsagrada,1444,0.476,0.476,0.048,0.63,0.82,-7.16,42.85
Begonte,A Ulloa,188,0.154,0.641,0.205,0.5,0.78,-7.69,43.15
Beira,A Coruña,567,0.02,0.475,0.505,0.3,0.78,-8.36,43.2
Bembibre,A Barcala,985,0.192,0.59,0.218,0.49,0.75,-8.66,43.02
Bergondo,A Coruña,1514,0.02,0.475,0.505,0.3,0.78,-8.23,43.32
Bertamiráns,A Barcala,7166,0.192,0.59,0.218,0.49,0.75,-8.65,42.86
Betanzos,A Coruña,10746,0.02,0.475,0.505,0.3,0.78,-8.21,43.28
Boado,Arzúa,203,0.4,0.52,0.08,0.6,0.75,-8.19,43.04
Boborás,O Carballiño,147,0.167,0.75,0.083,0.54,0.8,-8.14,42.43
Boiro,Barbanza,9306,0.282,0.615,0.103,0.62,0.79,-8.89,42.65
Boqueixón,A Barcala,296,0.192,0.59,0.218,0.49,0.75,-8.41,42.81
Borrifáns,A Coruña,248,0.02,0.475,0.505,0.3,0.78,-8.21,43.14
Brabío,A Coruña,384,0.02,0.475,0.505,0.3,0.78,-8.2,43.27
Bragade,A Coruña,195,0.02,0.475,0.505,0.3,0.78,-8.2,43.17
Brexo,A Coruña,926,0.02,0.475,0.505,0.3,0.78,-8.32,43.27
Bribes,A Coruña,816,0.02,0.475,0.505,0.3,0.78,-8.31,43.28
Bruma,Arzúa,53,0.4,0.52,0.08,0.6,0.75,-8.36,43.15
Bueu,O Morrazo,3837,0,0.871,0.129,0.37,0.86,-8.79,42.33
Burela,A Mariña Central,9536,0.318,0.545,0.136,0.56,0.76,-7.36,43.66
Buscás,Arzúa,538,0.4,0.52,0.08,0.6,0.75,-8.38,43.1
Cádavos,Terra De Celanova,98,0.5,0.467,0.033,0.64,0.76,-7.01,41.98
Córgomo,Terra De Caldelas,237,0.188,0.5,0.313,0.17,0.73,-7.03,42.43
Cañás,A Coruña,323,0.02,0.475,0.505,0.3,0.78,-8.33,43.23
Cabaleiros,Arzúa,789,0.4,0.52,0.08,0.6,0.75,-8.55,43.08
Cabana de Bergantiños,Xallas,4623,0.657,0.286,0.057,0.71,0.85,-8.93,43.22
Cabanas,A Coruña,140,0.02,0.475,0.505,0.3,0.78,-8.3,43.21
Cabanas,Eume,1002,0.081,0.435,0.484,0.17,0.83,-8.16,43.42
Cabo de Cruz,Barbanza,2430,0.282,0.615,0.103,0.62,0.79,-8.88,42.62
Cabrui,Arzúa,231,0.4,0.52,0.08,0.6,0.75,-8.2,43.12
Caión,Xallas,633,0.657,0.286,0.057,0.71,0.85,-8.61,43.32
Caldas de Reis,Caldas,4432,0.19,0.667,0.143,0.48,0.75,-8.64,42.6
Calvos,Terra De Celanova,175,0.5,0.467,0.033,0.64,0.76,-7.9,41.94
Camariñas,Xallas,2775,0.657,0.286,0.057,0.71,0.85,-9.18,43.13
Cambás,A Coruña,439,0.02,0.475,0.505,0.3,0.78,-7.97,43.26
Cambados,Caldas,6905,0.19,0.667,0.143,0.48,0.75,-8.81,42.51
Cambre,A Coruña,3876,0.02,0.475,0.505,0.3,0.78,-8.34,43.29
Cangas,O Morrazo,6891,0,0.871,0.129,0.37,0.86,-8.78,42.26
Carballeda de Avia,O Carballiño,342,0.167,0.75,0.083,0.54,0.8,-8.16,42.32
Carballeda de Valdeorras,Terra De Caldelas,53,0.188,0.5,0.313,0.17,0.73,-6.88,42.38
Carballo,Xallas,19140,0.657,0.286,0.057,0.71,0.85,-8.69,43.21
Carballo,Terra De Celanova,106,0.5,0.467,0.033,0.64,0.76,-7.95,42.1
Carelle,Arzúa,147,0.4,0.52,0.08,0.6,0.75,-8.06,43.02
Cariño,Eume,3127,0.081,0.435,0.484,0.17,0.83,-7.87,43.74
Carnoedo,A Coruña,1005,0.02,0.475,0.505,0.3,0.78,-8.27,43.37
Carnota,Xallas,1018,0.657,0.286,0.057,0.71,0.85,-9.09,42.82
Carral,A Coruña,2497,0.02,0.475,0.505,0.3,0.78,-8.36,43.23
Carres,A Coruña,81,0.02,0.475,0.505,0.3,0.78,-8.24,43.19
Cartelle,Terra De Celanova,215,0.5,0.467,0.033,0.64,0.76,-8.07,42.25
Casaio,Terra De Caldelas,438,0.188,0.5,0.313,0.17,0.73,-6.81,42.34
Castañedo,A Fonsagrada,104,0.476,0.476,0.048,0.63,0.82,-6.99,43.05
Castelo,A Coruña,303,0.02,0.475,0.505,0.3,0.78,-8.39,43.24
Castenda da Torre,Arzúa,376,0.4,0.52,0.08,0.6,0.75,-8.53,43.05
Castrelo do Val,Terra De Celanova,350,0.5,0.467,0.033,0.64,0.76,-7.42,41.99
Castro,Arzúa,117,0.4,0.52,0.08,0.6,0.75,-8.18,43.06
Castro Caldelas,Terra De Caldelas,677,0.188,0.5,0.313,0.17,0.73,-7.42,42.37
Castro de Rei,A Ulloa,177,0.154,0.641,0.205,0.5,0.78,-7.4,43.21
Castromil,Terra De Celanova,69,0.5,0.467,0.033,0.64,0.76,-6.98,42.01
Castroverde,A Ulloa,386,0.154,0.641,0.205,0.5,0.78,-7.33,43.03
Cea,O Carballiño,680,0.167,0.75,0.083,0.54,0.8,-7.99,42.47
Cecebre,A Coruña,1347,0.02,0.475,0.505,0.3,0.78,-8.3,43.29
Cedeira,Eume,7062,0.081,0.435,0.484,0.17,0.83,-8.05,43.66
Cee,Xallas,4411,0.657,0.286,0.057,0.71,0.85,-9.19,42.96
Cela,A Coruña,499,0.02,0.475,0.505,0.3,0.78,-8.33,43.29
Celanova,Terra De Celanova,3516,0.5,0.467,0.033,0.64,0.76,-7.96,42.15
Celeiro,A Mariña Central,1886,0.318,0.545,0.136,0.56,0.76,-7.59,43.68
Cepedelo,Terra De Celanova,42,0.5,0.467,0.033,0.64,0.76,-7,42.13
Cerceda,Arzúa,1919,0.4,0.52,0.08,0.6,0.75,-8.47,43.19
Cerdedo,Tabeirós-Terra De Montes,437,0.48,0.36,0.16,0.58,0.69,-8.39,42.53
Cerneda,A Coruña,91,0.02,0.475,0.505,0.3,0.78,-8.28,43.21
Cervo,A Mariña Central,518,0.318,0.545,0.136,0.56,0.76,-7.41,43.67
Chaguazoso,Terra De Celanova,161,0.5,0.467,0.033,0.64,0.76,-7.05,41.97
Chamín,A Coruña,474,0.02,0.475,0.505,0.3,0.78,-8.57,43.29
Chantada,Chantada,4340,0.222,0.611,0.167,0.54,0.76,-7.77,42.61
Coirós,A Coruña,512,0.02,0.475,0.505,0.3,0.78,-8.17,43.25
Colantres,A Coruña,289,0.02,0.475,0.505,0.3,0.78,-8.17,43.26
Coles,Ourense,223,0.073,0.6,0.327,0.35,0.8,-7.84,42.4
Combarro,Pontevedra,1283,0.058,0.481,0.462,0.16,0.8,-8.71,42.43
Comoxo,Barbanza,187,0.282,0.615,0.103,0.62,0.79,-8.89,42.68
Corcubión,Xallas,1638,0.657,0.286,0.057,0.71,0.85,-9.19,42.94
Corme Porto,Xallas,1142,0.657,0.286,0.057,0.71,0.85,-8.96,43.26
Cortegada,O Carballiño,522,0.167,0.75,0.083,0.54,0.8,-8.17,42.21
Cortiñán,A Coruña,494,0.02,0.475,0.505,0.3,0.78,-8.24,43.28
Cos,A Coruña,118,0.02,0.475,0.505,0.3,0.78,-8.24,43.23
Covas,A Mariña Central,3386,0.318,0.545,0.136,0.56,0.76,-7.61,43.67
Covelo,A Paradanta,308,0.132,0.579,0.289,0.45,0.78,-8.36,42.23
Crecente,A Paradanta,475,0.132,0.579,0.289,0.45,0.78,-8.22,42.15
Crendes,A Coruña,710,0.02,0.475,0.505,0.3,0.78,-8.27,43.27
Cuíña,A Coruña,244,0.02,0.475,0.505,0.3,0.78,-8.22,43.23
Cualedro,Terra De Celanova,316,0.5,0.467,0.033,0.64,0.76,-7.59,41.99
Culleredo,A Coruña,1483,0.02,0.475,0.505,0.3,0.78,-8.39,43.29
Cullergondo,A Coruña,195,0.02,0.475,0.505,0.3,0.78,-8.23,43.21
Cumbraos,Arzúa,252,0.4,0.52,0.08,0.6,0.75,-8.18,43.09
Cumbraos,Arzúa,239,0.4,0.52,0.08,0.6,0.75,-8.01,43.06
Cuntis,Caldas,967,0.19,0.667,0.143,0.48,0.75,-8.56,42.64
Currás,Caldas,3078,0.19,0.667,0.143,0.48,0.75,-8.66,42.59
Curtis,A Coruña,1246,0.02,0.475,0.505,0.3,0.78,-8.14,43.13
Cutián,A Coruña,91,0.02,0.475,0.505,0.3,0.78,-8.25,43.2
Dodro,A Barcala,1231,0.192,0.59,0.218,0.49,0.75,-8.71,42.72
Dordaño,A Coruña,253,0.02,0.475,0.505,0.3,0.78,-8.23,43.18
Dumbría,Xallas,496,0.657,0.286,0.057,0.71,0.85,-9.12,43.01
Entoma,Terra De Caldelas,318,0.188,0.5,0.313,0.17,0.73,-6.94,42.42
Escairón,Chantada,899,0.222,0.611,0.167,0.54,0.76,-7.64,42.58
Esgos,Ourense,256,0.073,0.6,0.327,0.35,0.8,-7.7,42.33
Feás,A Coruña,114,0.02,0.475,0.505,0.3,0.78,-8.08,43.25
Fene,Eume,1730,0.081,0.435,0.484,0.17,0.83,-8.16,43.47
Ferreira do Valadouro,A Mariña Central,749,0.318,0.545,0.136,0.56,0.76,-7.44,43.55
Ferrol,Eume,74000,0.081,0.435,0.484,0.17,0.83,-8.23,43.48
Figueiroa,A Coruña,213,0.02,0.475,0.505,0.3,0.78,-8.32,43.22
Figueredo,A Coruña,44,0.02,0.475,0.505,0.3,0.78,-8.25,43.18
Filgueira de Barranca,A Coruña,118,0.02,0.475,0.505,0.3,0.78,-8.18,43.16
Filgueira de Traba,A Coruña,147,0.02,0.475,0.505,0.3,0.78,-8.28,43.14
Fisterra,Xallas,3034,0.657,0.286,0.057,0.71,0.85,-9.26,42.91
Fisteus,A Coruña,546,0.02,0.475,0.505,0.3,0.78,-8.1,43.1
Folgoso,A Coruña,119,0.02,0.475,0.505,0.3,0.78,-8.31,43.2
Folgoso,Arzúa,97,0.4,0.52,0.08,0.6,0.75,-8.09,43.03
Folgoso do Courel,Chantada,359,0.222,0.611,0.167,0.54,0.76,-7.19,42.59
Fonsá,Arzúa,48,0.4,0.52,0.08,0.6,0.75,-8.28,43.02
