town,Region,population,Galician frac,Bilingual frac.,Slovenian Frac.,S,k,lat,lon
Sobrado,Terra De Celanova,50,0.5,0.467,0.033,0.64,0.76,-8.09,42.19
Sobrado do Bispo,Ourense,600,0.073,0.6,0.327,0.35,0.8,-7.91,42.29
Sobrado dos Monxes,Arzúa,240,0.4,0.52,0.08,0.6,0.75,-8.02,43.04
Sofán (Lira),Xallas,125,0.657,0.286,0.057,0.71,0.85,-9.12,42.81
Sorrizo,A Coruña,204,0.02,0.475,0.505,0.3,0.78,-8.58,43.31
Soutelo de Montes,Tabeirós-Terra De Montes,430,0.48,0.36,0.16,0.58,0.69,-8.3,42.53
Soutomaior,Vigo,7317,0.039,0.512,0.449,0.24,0.8,-8.57,42.34
Soutullo,Caldas,306,0.19,0.667,0.143,0.48,0.75,-8.86,42.42
Sueiro,A Coruña,344,0.02,0.475,0.505,0.3,0.78,-8.38,43.27
Suevos,A Coruña,516,0.02,0.475,0.505,0.3,0.78,-8.48,43.34
Sumio,A Coruña,496,0.02,0.475,0.505,0.3,0.78,-8.38,43.19
Tabeaio,A Coruña,874,0.02,0.475,0.505,0.3,0.78,-8.36,43.25
Taboada,Eume,85,0.081,0.435,0.484,0.17,0.83,-8.1,43.41
Taboada,Chantada,780,0.222,0.611,0.167,0.54,0.76,-7.76,42.72
Taboadela,Ourense,216,0.073,0.6,0.327,0.35,0.8,-7.83,42.24
Tallós,A Barcala,99,0.192,0.59,0.218,0.49,0.75,-8.7,42.72
Teixeiro,A Coruña,1055,0.02,0.475,0.505,0.3,0.78,-8.04,43.14
Teo,A Barcala,18505,0.192,0.59,0.218,0.49,0.75,-8.55,42.8
Tiobre,A Coruña,597,0.02,0.475,0.505,0.3,0.78,-8.2,43.29
Toén,Ourense,293,0.073,0.6,0.327,0.35,0.8,-7.95,42.32
Toiriz,Chantada,204,0.222,0.611,0.167,0.54,0.76,-7.6,42.57
Toques,Arzúa,1265,0.4,0.52,0.08,0.6,0.75,-7.97,42.97
Tordoia,Arzúa,118,0.4,0.52,0.08,0.6,0.75,-8.55,43.09
Trabada,A Mariña Central,191,0.318,0.545,0.136,0.56,0.76,-7.19,43.45
Trasanquelos,A Coruña,229,0.02,0.475,0.505,0.3,0.78,-8.17,43.17
Trasariz,O Carballiño,242,0.167,0.75,0.083,0.54,0.8,-8.07,42.32
Trasmiras,Terra De Celanova,335,0.5,0.467,0.033,0.64,0.76,-7.62,42.02
Triacastela,A Fonsagrada,811,0.476,0.476,0.048,0.63,0.82,-7.24,42.76
Tui,A Paradanta,6098,0.132,0.579,0.289,0.45,0.78,-8.64,42.05
Valdegodos,Terra De Caldelas,254,0.188,0.5,0.313,0.17,0.73,-7.05,42.41
Valdoviño,Eume,1056,0.081,0.435,0.484,0.17,0.83,-8.14,43.61
Veigue,A Coruña,421,0.02,0.475,0.505,0.3,0.78,-8.3,43.37
Verín,Terra De Celanova,14760,0.5,0.467,0.033,0.64,0.76,-7.44,41.94
Viós,A Coruña,245,0.02,0.475,0.505,0.3,0.78,-8.28,43.2
Viaño Pequeno,Arzúa,127,0.4,0.52,0.08,0.6,0.75,-8.52,43.03
Viana do Bolo,Terra De Celanova,1453,0.5,0.467,0.033,0.64,0.76,-7.11,42.18
Videferre,Terra De Celanova,157,0.5,0.467,0.033,0.64,0.76,-7.59,41.85
Vigo,Vigo,297332,0.039,0.512,0.449,0.24,0.8,-8.72,42.24
Vila de Cruces,Tabeirós-Terra De Montes,1352,0.48,0.36,0.16,0.58,0.69,-8.17,42.79
Vilacoba,A Coruña,168,0.02,0.475,0.505,0.3,0.78,-8.29,43.17
Vilagarcía de Arousa,Caldas,19548,0.19,0.667,0.143,0.48,0.75,-8.77,42.59
Vilalba,A Ulloa,5942,0.154,0.641,0.205,0.5,0.78,-7.68,43.3
Vilalonga,Caldas,2261,0.19,0.667,0.143,0.48,0.75,-8.83,42.44
Vilamaior da Boullosa,Terra De Celanova,223,0.5,0.467,0.033,0.64,0.76,-7.75,41.92
Vilamarín,Ourense,187,0.073,0.6,0.327,0.35,0.8,-7.89,42.46
Vilamartín de Valdeorras,Terra De Caldelas,639,0.188,0.5,0.313,0.17,0.73,-7.06,42.41
Vilameán,A Paradanta,388,0.132,0.579,0.289,0.45,0.78,-8.74,42.03
Vilanova,A Mariña Central,929,0.318,0.545,0.136,0.56,0.76,-7.3,43.47
Vilanova de Arousa,Caldas,2093,0.19,0.667,0.143,0.48,0.75,-8.83,42.56
Vilanova de Valdeorras,Terra De Caldelas,226,0.188,0.5,0.313,0.17,0.73,-6.98,42.43
Vilar de Barrio,Terra De Celanova,2000,0.5,0.467,0.033,0.64,0.76,-7.61,42.16
Vilar de Gomareite,Terra De Celanova,145,0.5,0.467,0.033,0.64,0.76,-7.64,42.16
Vilar de Santos,Terra De Celanova,391,0.5,0.467,0.033,0.64,0.76,-7.79,42.09
Vilarchao,Ourense,166,0.073,0.6,0.327,0.35,0.8,-7.84,42.41
